Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries,Carries_TotDist,Carries_PrgDist,Carries_Prog,Carries_Final3rd,Carries_CPA,Carries_Mis,Carries_Dis,Rec_Targ,Rec,Rec%,Rec_Prog
120,Lucas Digne,fr FRA,DF,Everton,28-220,1993,13,823,52,273,318,284,15,666,6,12,50,6,0,399,2075,1141,47,25,2,8,10,429,385,89.7,21
121,Lucas Digne,fr FRA,DF,Aston Villa,28-220,1993,5,357,20,98,127,146,14,286,2,4,50,3,1,201,957,514,21,3,2,6,6,225,195,86.7,29
122,Virgil van Dijk,nl NED,DF,Liverpool,30-232,1991,24,1974,224,957,1035,65,36,1915,2,4,50,2,0,1238,5123,2751,71,5,0,6,1,1415,1387,98,5
123,Issa Diop,fr FRA,DF,West Ham,25-047,1997,9,433,63,257,198,8,3,426,0,0,,0,0,233,1465,678,10,2,0,1,1,268,263,98.1,0
124,Moussa Djenepo,ml MLI,MF,Southampton,23-255,1998,4.8,235,7,44,93,110,25,235,13,26,50,14,1,172,922,628,28,6,7,17,15,176,142,80.7,18
125,Lewis Dobbin,eng ENG,FWMF,Everton,19-053,2003,0.4,13,0,3,7,5,2,13,0,1,0,0,0,11,81,43,1,0,1,1,1,21,8,38.1,3
126,Matt Doherty,ie IRL,DFMF,Tottenham,30-040,1992,3.6,277,18,69,123,97,19,244,4,6,66.7,4,0,164,975,556,33,4,2,4,4,167,163,97.6,20
127,Gabriel Dos Santos,br BRA,DF,Arsenal,24-068,1997,20.4,1322,239,752,599,64,25,1289,2,2,100,2,0,898,5426,2986,68,16,0,3,0,981,960,97.9,4
128,Abdoulaye Doucouré,fr FRA,MF,Everton,29-055,1993,15.7,777,37,195,427,198,29,767,16,30,53.3,16,0,485,2404,1346,51,20,4,14,8,517,437,84.5,39
129,Kieran Dowell,eng ENG,FWMF,Norwich City,24-138,1997,3.8,152,4,20,66,74,8,139,3,5,60,3,0,96,384,191,11,3,2,6,6,145,103,71,28
130,Cody Drameh,eng ENG,DF,Leeds United,20-079,2001,1.4,94,3,37,44,22,2,68,2,4,50,2,0,45,282,163,9,4,0,0,1,46,42,91.3,2
131,Martin Dúbravka,sk SVK,GK,Newcastle Utd,33-041,1989,12,437,362,435,3,0,0,266,0,0,,0,0,183,1087,604,0,0,0,0,0,155,155,100,0
132,Shane Duffy,ie IRL,DF,Brighton,30-055,1992,14,1017,181,649,372,49,20,997,2,2,100,2,0,598,2429,1256,20,6,0,2,1,736,717,97.4,2
133,Paul Dummett,wls WAL,DF,Newcastle Utd,30-152,1991,2.2,90,6,36,45,14,0,72,0,0,,0,0,42,151,72,4,2,0,0,1,36,36,100,0
134,Lewis Dunk,eng ENG,DF,Brighton,30-096,1991,15.6,1275,180,750,560,39,12,1245,2,2,100,2,0,859,4251,2048,26,3,0,1,4,976,964,98.8,1
135,Ederson,br BRA,GK,Manchester City,28-192,1993,25,765,635,755,11,0,0,645,0,0,,0,0,466,1934,1246,0,0,0,0,0,464,460,99.1,0
136,Odsonne Édouard,fr FRA,FW,Crystal Palace,24-040,1998,13.8,545,14,55,260,266,71,524,20,50,40,24,3,350,1767,1132,59,16,7,36,39,662,386,58.3,99
137,Anthony Elanga,se SWE,FW,Manchester Utd,19-304,2002,4.2,203,2,32,75,108,24,198,6,14,42.9,7,0,138,556,214,13,3,6,13,5,208,144,69.2,37
138,Harvey Elliott,eng ENG,MF,Liverpool,18-327,2003,3.1,250,1,22,121,127,18,243,2,7,28.6,2,0,186,900,537,27,13,2,5,2,204,190,93.1,23
139,Mohamed Elneny,eg EGY,MF,Arsenal,29-229,1992,2,131,7,33,78,29,3,130,0,1,0,0,0,100,453,177,4,0,0,3,0,94,90,95.7,1
140,Mohamed Elyounoussi,no NOR,MF,Southampton,27-205,1994,13.3,570,18,78,266,276,56,566,13,26,50,15,2,389,2407,1304,71,31,7,31,30,509,385,75.6,71
141,Emerson,br BRA,DF,Tottenham,23-042,1999,16.5,1196,69,384,470,401,41,1025,13,18,72.2,13,0,672,3076,1658,79,22,6,12,20,751,665,88.5,64
142,Oghenekaro Etebo,ng NGA,MF,Watford,26-108,1995,4.1,180,14,64,110,18,0,171,4,5,80,4,0,139,627,284,10,2,0,1,2,110,105,95.5,2
143,Jonny Evans,nir NIR,DF,Leicester City,34-053,1988,8.4,565,106,349,222,16,9,543,0,1,0,0,0,319,1480,687,9,3,0,1,0,348,338,97.1,0
144,Eberechi Eze,eng ENG,MFFW,Crystal Palace,23-241,1998,1.6,91,0,9,50,36,0,87,1,2,50,1,0,59,269,133,9,2,0,4,4,86,65,75.6,17
145,Łukasz Fabiański,pl POL,GK,West Ham,36-313,1985,25,689,632,688,1,0,0,451,0,0,,0,0,269,1297,645,0,0,0,0,0,261,258,98.9,0
